Artifact Creator | Model Run | Log | ENTROPY_PRECISION | MODEL_EDGE_COUNT | TRACE_RATIO_GOWER_3 | STRUCTURAL_SIMPLICITY_EDGE_COUNT | TRACE_PROBMASS_OVERLAP | TRACE_RATIO_GOWER_2 | EARTH_MOVERS_LIGHT_COVERAGE | LOG_TRACE_COUNT | ENTROPY_RECALL | EARTH_MOVERS_TRACEWISE | STRUCTURAL_SIMPLICITY_ENTITY_COUNT | TRACE_RATIO_GOWER_4 | TRACE_OVERLAP_RATIO | TRACE_GENERALIZATION_FLOOR_1 | TRACE_GENERALIZATION_DIFF_UNIQ | MODEL_ENTITY_COUNT | EVENT_RATIO_GOWER | TRACE_GENERALIZATION_FLOOR_10 | STRUCTURAL_SIMPLICITY_STOCHASTIC | LOG_EVENT_COUNT | ENTROPY_FITNESS_TRACEWISE | ENTROPY_PRECISION_TRACEWISE | TRACE_GENERALIZATION_FLOOR_5 | Run file | Machine | 
predef-aplh-fodina | predef-aplh-fodina | BPIC2013 closed |      | 14.0 | 0.0 | 0.9234972677595629 | 0.0 | 0.0 |      | 1487 |      | -3.1086244689504383E-15 | 0.9344262295081968 | 0.0 | 0.0 | 0.0 | 0.0 | 12.0 | 0.0 | 0.0 | 0.819672131147541 | 6660 | -0.0 | 0.0 | 0.0 | mrun_BPIC2013_closed_predef-aplh-fodina_20210624-120902.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-aplh-inductive | predef-aplh-inductive | BPIC2013 closed |      | 10.0 | 0.08247970297645851 | 0.9453551912568307 | 0.3860121049092132 | 0.2341616428736894 |      | 1487 |      | 0.38601210490921145 | 0.9508196721311475 | 0.023148643868298662 | 0.38601210490921317 | 0.38601210490921317 | 0.38264963012777403 | 9.0 | 0.5117829525306296 | 0.3846671149966375 | 0.8633879781420765 | 6660 | 0.19041587310647573 | 0.4135676436275552 | 0.3846671149966375 | mrun_BPIC2013_closed_predef-aplh-inductive_20210624-120404.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-aplh-split | predef-aplh-split | BPIC2013 closed |      | 20.0 | 0.07159555364465521 | 0.8907103825136612 | 0.09347679892400804 | 0.1119034374418991 |      | 1487 |      | 0.09347679892400529 | 0.907103825136612 | 0.09005552749733302 | 0.09347679892400806 | 0.6106254203093476 | 0.08607935440484196 | 17.0 | 0.4488066844259809 | 0.5951580363147276 | 0.7595628415300546 | 6660 | 0.10169636869276329 | 0.2823791526596638 | 0.6045729657027572 | mrun_BPIC2013_closed_predef-aplh-split_20210624-120902.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-aprh-fodina | predef-aprh-fodina | BPIC2013 closed |      | 14.0 | 0.0 | 0.9234972677595629 | 0.0 | 0.0 |      | 1487 |      | -3.1086244689504383E-15 | 0.9344262295081968 | 0.0 | 0.0 | 0.0 | 0.0 | 12.0 | 0.0 | 0.0 | 0.819672131147541 | 6660 | -0.0 | 0.0 | 0.0 | mrun_BPIC2013_closed_predef-aprh-fodina_20210624-120405.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-aprh-inductive | predef-aprh-inductive | BPIC2013 closed |      | 10.0 | 0.060259266477244555 | 0.9453551912568307 | 0.18090114324142567 | 0.24392591686387216 |      | 1487 |      | 0.18090114324142292 | 0.9508196721311475 | 0.017592134638678973 | 0.1809011432414257 | 0.38601210490921317 | 0.17753866845998656 | 9.0 | 0.6172954554397827 | 0.3846671149966375 | 0.8579234972677596 | 6660 | 0.15450479980418907 | 0.2927243707864392 | 0.3846671149966375 | mrun_BPIC2013_closed_predef-aprh-inductive_20210624-120902.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-aprh-split | predef-aprh-split | BPIC2013 closed |      | 20.0 | 0.08307342944342239 | 0.8907103825136612 | 0.14256893073301946 | 0.1385955540940793 |      | 1487 |      | 0.1425689307330169 | 0.907103825136612 | 0.08975361974404705 | 0.1425689307330195 | 0.6496301277740417 | 0.1324815063887021 | 17.0 | 0.5158808759293274 | 0.628782784129119 | 0.7595628415300546 | 6660 | 0.14291296211455431 | 0.2864929353389349 | 0.6429051782111634 | mrun_BPIC2013_closed_predef-aprh-split_20210624-120405.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-bce-fodina | predef-bce-fodina | BPIC2013 closed |      | 14.0 | 0.0 | 0.9234972677595629 | 0.0 | 0.0 |      | 1487 |      | -3.1086244689504383E-15 | 0.9344262295081968 | 0.0 | 0.0 | 0.0 | 0.0 | 12.0 | 0.0 | 0.0 | 0.8142076502732241 | 6660 | -0.0 | 0.0 | 0.0 | mrun_BPIC2013_closed_predef-bce-fodina_20210624-120405.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-bce-inductive | predef-bce-inductive | BPIC2013 closed |      | 10.0 | 0.06494666344890404 | 0.9453551912568307 | 0.08809683927370543 | 0.2554394515767059 |      | 1487 |      | 0.08809683927370271 | 0.9508196721311475 | 0.018485820605905572 | 0.08809683927370544 | 0.38601210490921317 | 0.0847343644922663 | 9.0 | 0.628845467708623 | 0.3846671149966375 | 0.8579234972677596 | 6660 | 0.10034113845843032 | 0.22131620519126993 | 0.3846671149966375 | mrun_BPIC2013_closed_predef-bce-inductive_20210624-120405.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-bce-split | predef-bce-split | BPIC2013 closed |      | 20.0 | 0.07162887816169987 | 0.8907103825136612 | 0.09347679892400804 | 0.11159447516341195 |      | 1487 |      | 0.09347679892400518 | 0.907103825136612 | 0.0867072860589574 | 0.09347679892400806 | 0.699394754539341 | 0.08607935440484196 | 17.0 | 0.44790082148835647 | 0.6906523201075991 | 0.7540983606557377 | 6660 | 0.10154912883851407 | 0.28118946965797526 | 0.6940147948890383 | mrun_BPIC2013_closed_predef-bce-split_20210624-120406.xml | cl4n020.ib0.hpc.qut.edu.au | 
predef-fe-fodina | predef-fe-fodina | BPIC2013 closed |      | 14.0 | 0.0 | 0.9234972677595629 | 0.0 | 0.0 |      | 1487 |      | -3.1086244689504383E-15 | 0.9344262295081968 | 0.0 | 0.0 | 0.0 | 0.0 | 12.0 | 0.0 | 0.0 | 0.819672131147541 | 6660 | -0.0 | 0.0 | 0.0 | mrun_BPIC2013_closed_predef-fe-fodina_20210624-120900.xml | cl4n020.ib0.hpc.qut.edu.au | 
